Site ID,Energy Consumption (kWh),Date
CCC0501,1611.86,11-01-2019
CCC0501,911.89,11-02-2019
CCC0501,939.28,11-03-2019
CCC0501,1570.04,11-04-2019
CCC0501,1562.43,11-05-2019
CCC0501,1547.96,11-06-2019
CCC0501,1557.28,11-07-2019
CCC0501,1586.02,11-08-2019
CCC0501,688.22,11-09-2019
CCC0501,168.92,11-10-2019
CCC0501,1287.08,11-11-2019
CCC0501,1618.42,11-12-2019
CCC0501,1683.21,11/13/2019
CCC0501,1647.18,11/14/2019
CCC0501,1723.23,11/15/2019
CCC0501,863.54,11/16/2019
CCC0501,619.67,11/17/2019
CCC0501,1480.98,11/18/2019
CCC0501,1615.86,11/19/2019
CCC0501,1618,11/20/2019
CCC0501,1762.44,11/21/2019
CCC0501,1443.2,11/22/2019
CCC0501,732.09,11/23/2019
CCC0501,156.61,11/24/2019
CCC0501,1344.64,11/25/2019
CCC0501,1604.5,11/26/2019
CCC0501,1544.19,11/27/2019
CCC0501,885.3,11/28/2019
CCC0501,1471.3,11/29/2019
CCC0501,967.05,11/30/2019
CCC0501,887.67,12-01-2019
CCC0501,1431.11,12-02-2019
CCC0501,1635.27,12-03-2019
CCC0501,1665.07,12-04-2019
CCC0501,1745.85,12-05-2019
CCC0501,1575.97,12-06-2019
CCC0501,977.6,12-07-2019
CCC0501,924.92,12-08-2019
CCC0501,1394.12,12-09-2019
CCC0501,1664.83,12-10-2019
CCC0501,1702.22,12-11-2019
CCC0501,1646.83,12-12-2019
CCC0501,1651.19,12/13/2019
CCC0501,1200.93,12/14/2019
CCC0501,1313.53,12/15/2019
CCC0501,1955.82,12/16/2019
CCC0501,1892.63,12/17/2019
CCC0501,1788.39,12/18/2019
CCC0501,1784.71,12/19/2019
CCC0501,1671.87,12/20/2019
CCC0501,654.37,12/21/2019
CCC0501,202.74,12/22/2019
CCC0501,1363.62,12/23/2019
CCC0501,1518.38,12/24/2019
CCC0501,1318.01,12/25/2019
CCC0501,1681.99,12/26/2019
CCC0501,1510.35,12/27/2019
CCC0501,1169.67,12/28/2019
CCC0501,1290.77,12/29/2019
CCC0501,1721.97,12/30/2019
CCC0501,1611.8,12/31/2019
CCC0501,1359.93,01-01-2020
CCC0501,1621.82,01-02-2020
CCC0501,1546.44,01-03-2020
CCC0501,945.3,01-04-2020
CCC0501,218.66,01-05-2020
CCC0501,1491.95,01-06-2020
CCC0501,1581.48,01-07-2020
CCC0501,1452.94,01-08-2020
CCC0501,1789.88,01-09-2020
CCC0501,1632.07,01-10-2020
CCC0501,996.01,01-11-2020
CCC0501,919,01-12-2020
CCC0501,1686.19,1/13/2020
CCC0501,1739.93,1/14/2020
CCC0501,1847.67,1/15/2020
CCC0501,1714.02,1/16/2020
CCC0501,1741.2,1/17/2020
CCC0501,743.91,1/18/2020
CCC0501,537.84,1/19/2020
CCC0501,1627.12,1/20/2020
CCC0501,1553.26,1/21/2020
CCC0501,1670.73,1/22/2020
CCC0501,1602.48,1/23/2020
CCC0501,1574.19,1/24/2020
CCC0501,1140.76,1/25/2020
CCC0501,904.99,1/26/2020
CCC0501,1639.19,1/27/2020
CCC0501,1614.73,1/28/2020
CCC0501,1651.66,1/29/2020
CCC0501,1706.47,1/30/2020
CCC0501,1733.27,1/31/2020
CCC0501,1342.24,02-01-2020
CCC0501,1317.23,02-02-2020
CCC0501,1619.6,02-03-2020
CCC0501,1525.85,02-04-2020
CCC0501,1612.74,02-05-2020
CCC0501,1789.27,02-06-2020
CCC0501,1785.48,02-07-2020
CCC0501,1150.66,02-08-2020
CCC0501,975.25,02-09-2020
CCC0501,1773.58,02-10-2020
CCC0501,1755.29,02-11-2020
CCC0501,1838.33,02-12-2020
CCC0501,1773.98,2/13/2020
CCC0501,1649.68,2/14/2020
CCC0501,846.31,2/15/2020
CCC0501,256.17,2/16/2020
CCC0501,1386.18,2/17/2020
CCC0501,1719.82,2/18/2020
CCC0501,1858.16,2/19/2020
CCC0501,1812.34,2/20/2020
CCC0501,1751.11,2/21/2020
CCC0501,1348.55,2/22/2020
CCC0501,1325.71,2/23/2020
CCC0501,1616.11,2/24/2020
CCC0501,1630.27,2/25/2020
CCC0501,1596.37,2/26/2020
CCC0501,1625.24,2/27/2020
CCC0501,1573.38,2/28/2020
CCC0501,1166.26,2/29/2020
CCC0501,961.55,03-01-2020
CCC0501,1708.77,03-02-2020
CCC0501,1748.42,03-03-2020
CCC0501,1584.21,03-04-2020
CCC0501,1775.26,03-05-2020
CCC0501,1704.12,03-06-2020
CCC0501,967.35,03-07-2020
CCC0501,232.43,03-08-2020
CCC0501,1411,03-09-2020
CCC0501,1816.95,03-10-2020
CCC0501,1901.41,03-11-2020
CCC0501,1886.27,03-12-2020
CCC0501,1656.66,3/13/2020
CCC0501,1190.74,3/14/2020
CCC0501,1321.24,3/15/2020
CCC0501,1574.92,3/16/2020
CCC0501,1658.96,3/17/2020
CCC0501,1890.53,3/18/2020
CCC0501,1812.55,3/19/2020
CCC0501,1623.4,3/20/2020
CCC0501,701.54,3/21/2020
CCC0501,326.11,3/22/2020
CCC0501,1333.47,3/23/2020
CCC0501,1841.82,3/24/2020
CCC0501,1895.23,3/25/2020
CCC0501,2132.16,3/26/2020
CCC0501,1904.06,3/27/2020
CCC0501,916.29,3/28/2020
CCC0501,270.46,3/29/2020
CCC0501,1362.33,3/30/2020
CCC0501,1603.97,3/31/2020
CCC0501,1720.16,04-01-2020
CCC0501,1118.3,04-02-2020
CCC0501,960.96,04-03-2020
CCC0501,256.89,04-04-2020
CCC0501,147.22,04-05-2020
CCC0501,1228.68,04-06-2020
CCC0501,1563.21,04-07-2020
CCC0501,1678.38,04-08-2020
CCC0501,1232.36,04-09-2020
CCC0501,1258,04-10-2020
CCC0501,367.63,04-11-2020
CCC0501,410.39,04-12-2020
CCC0501,1127.69,4/13/2020
CCC0501,984.79,4/14/2020
CCC0501,1052.72,4/15/2020
CCC0501,1175.3,4/16/2020
CCC0501,1099.88,4/17/2020
CCC0501,155.68,4/18/2020
CCC0501,149.39,4/19/2020
CCC0501,1024.41,4/20/2020
CCC0501,1252.13,4/21/2020
CCC0501,1287.7,4/22/2020
CCC0501,1365.29,4/23/2020
CCC0501,1483.09,4/24/2020
CCC0501,850.23,4/25/2020
CCC0501,670.21,4/26/2020
CCC0501,1405.05,4/27/2020
CCC0501,1644.24,4/28/2020
CCC0501,1560.76,4/29/2020
CCC0501,1616.01,4/30/2020
CCC0501,1722.68,05-01-2020
CCC0501,907.16,05-02-2020
CCC0501,290.02,05-03-2020
CCC0501,2047.21,05-04-2020
CCC0501,1792.08,05-05-2020
CCC0501,1505.67,05-06-2020
CCC0501,1572.13,05-07-2020
CCC0501,1357.37,05-08-2020
CCC0501,818.1,05-09-2020
CCC0501,342.85,05-10-2020
CCC0501,1332.59,05-11-2020
CCC0501,1687.79,05-12-2020
CCC0501,1682.77,5/13/2020
CCC0501,1799.77,5/14/2020
CCC0501,1924.17,5/15/2020
CCC0501,535.16,5/16/2020
CCC0501,214.49,5/17/2020
CCC0501,1580.23,5/18/2020
CCC0501,2102.72,5/19/2020
CCC0501,2294.36,5/20/2020
CCC0501,2288.21,5/21/2020
CCC0501,2305.38,5/22/2020
CCC0501,1282.27,5/23/2020
CCC0501,1126.69,5/24/2020
CCC0501,1040.72,5/25/2020
CCC0501,1263.99,5/26/2020
CCC0501,1275.05,5/27/2020
CCC0501,1637.11,5/28/2020
CCC0501,1390.59,5/29/2020
CCC0501,905.33,5/30/2020
CCC0501,816.2,5/31/2020
CCC0501,1719.83,06-01-2020
CCC0501,2240.02,06-02-2020
CCC0501,2207.75,06-03-2020
CCC0501,2363.83,06-04-2020
CCC0501,2380.4,06-05-2020
CCC0501,1059.56,06-06-2020
CCC0501,717.15,06-07-2020
CCC0501,2244.44,06-08-2020
CCC0501,2368.57,06-09-2020
CCC0501,1852.24,06-10-2020
CCC0501,1716.33,06-11-2020
CCC0501,2049.36,06-12-2020
CCC0501,1388.41,6/13/2020
CCC0501,638.69,6/14/2020
CCC0501,2059.7,6/15/2020
CCC0501,2450.8,6/16/2020
CCC0501,2483.7,6/17/2020
CCC0501,2418.26,6/18/2020
CCC0501,2034.81,6/19/2020
CCC0501,1020.33,6/20/2020
CCC0501,654.84,6/21/2020
CCC0501,2129.87,6/22/2020
CCC0501,2021.47,6/23/2020
CCC0501,2189.93,6/24/2020
CCC0501,2104.97,6/25/2020
CCC0501,2052.1,6/26/2020
CCC0501,1123.42,6/27/2020
CCC0501,503.27,6/28/2020
CCC0501,2030.66,6/29/2020
CCC0501,2353.06,6/30/2020
CCC0501,2779.9,07-01-2020
CCC0501,2679.09,07-02-2020
CCC0501,1771.02,07-03-2020
CCC0501,1848.82,07-04-2020
CCC0501,1645.44,07-05-2020
CCC0501,2250.43,07-06-2020
CCC0501,2234.73,07-07-2020
CCC0501,2367.58,07-08-2020
CCC0501,2659.33,07-09-2020
CCC0501,2912.05,07-10-2020
CCC0501,2459.33,07-11-2020
CCC0501,2143.64,07-12-2020
CCC0501,2666.19,7/13/2020
CCC0501,2890.8,7/14/2020
CCC0501,2895.08,7/15/2020
CCC0501,3033.26,7/16/2020
CCC0501,2821.87,7/17/2020
CCC0501,2143.5,7/18/2020
CCC0501,1972.39,7/19/2020
CCC0501,2624.01,7/20/2020
CCC0501,2776.26,7/21/2020
CCC0501,2604.61,7/22/2020
CCC0501,2638.25,7/23/2020
CCC0501,2776.12,7/24/2020
CCC0501,1687.91,7/25/2020
CCC0501,1590.46,7/26/2020
CCC0501,2613.45,7/27/2020
CCC0501,2679.3,7/28/2020
CCC0501,2742.16,7/29/2020
CCC0501,2825.93,7/30/2020
CCC0501,2269.23,7/31/2020
CCC0501,937.74,08-01-2020
CCC0501,985.85,08-02-2020
CCC0501,2346.49,08-03-2020
CCC0501,2670.67,08-04-2020
CCC0501,2653.11,08-05-2020
CCC0501,2645.05,08-06-2020
CCC0501,2519.26,08-07-2020
CCC0501,1599.05,08-08-2020
CCC0501,875.18,08-09-2020
CCC0501,2495.3,08-10-2020
CCC0501,2678.45,08-11-2020
CCC0501,2733.95,08-12-2020
CCC0501,3078.64,8/13/2020
CCC0501,3139.9,8/14/2020
CCC0501,1849.74,8/15/2020
CCC0501,945.9,8/16/2020
CCC0501,2148.33,8/17/2020
CCC0501,2377.18,8/18/2020
CCC0501,2002.38,8/19/2020
CCC0501,2302.64,8/20/2020
CCC0501,2359.75,8/21/2020
CCC0501,983.51,8/22/2020
CCC0501,948.17,8/23/2020
CCC0501,2418.61,8/24/2020
CCC0501,2857.04,8/25/2020
CCC0501,2781.84,8/26/2020
CCC0501,2618.06,8/27/2020
CCC0501,2836.92,8/28/2020
CCC0501,2503.41,8/29/2020
CCC0501,2043.83,8/30/2020
CCC0501,2811.93,8/31/2020
CCC0501,2605.99,09-01-2020
CCC0501,2156.89,09-02-2020
CCC0501,1990.6,09-03-2020
CCC0501,2411.29,09-04-2020
CCC0501,1869.94,09-05-2020
CCC0501,1789.9,09-06-2020
CCC0501,2339.09,09-07-2020
CCC0501,2598.68,09-08-2020
CCC0501,2126.48,09-09-2020
CCC0501,1587.87,09-10-2020
CCC0501,1658.44,09-11-2020
CCC0501,1026.13,09-12-2020
CCC0501,298.99,9/13/2020
CCC0501,1768.66,9/14/2020
CCC0501,2251.67,9/15/2020
CCC0501,2255.71,9/16/2020
CCC0501,2301.28,9/17/2020
CCC0501,2165.06,9/18/2020
CCC0501,1057.26,9/19/2020
CCC0501,979.02,9/20/2020
CCC0501,1671.91,9/21/2020
CCC0501,1278.72,9/22/2020
CCC0501,1350.39,9/23/2020
CCC0501,1392.18,9/24/2020
CCC0501,1792.68,9/25/2020
CCC0501,849.47,9/26/2020
CCC0501,1095.14,9/27/2020
CCC0501,1781.93,9/28/2020
CCC0501,1915.41,9/29/2020
CCC0501,1885.06,9/30/2020
CCC0501,1923.31,10-01-2020
CCC0501,1907.99,10-02-2020
CCC0501,1336.28,10-03-2020
CCC0501,1302.97,10-04-2020
CCC0501,1742.31,10-05-2020
CCC0501,1855.08,10-06-2020
CCC0501,2032.26,10-07-2020
CCC0501,1685.23,10-08-2020
CCC0501,1601.95,10-09-2020
CCC0501,1082.96,10-10-2020
CCC0501,1387.35,10-11-2020
CCC0501,1702.19,10-12-2020
CCC0501,1652.09,10/13/2020
CCC0501,1982.91,10/14/2020
CCC0501,1874.86,10/15/2020
